231,Jared Cook,TE18,100.2
232,Demarcus Robinson,WR76,99.9
233,Alexander Mattison,RB53,99.7
234,Gerald Everett,TE19,99.3
234,Hayden Hurst,TE19,99.3
236,Parris Campbell,WR77,99.2
236,Nico Collins,WR77,99.2
238,Zach Ertz,TE21,99
238,Chatarius Atwell,WR79,99
240,Tennessee Titans,DST22,98.6
241,Rashaad Penny,RB54,98.5
242,Jamison Crowder,WR80,98
243,Minnesota Vikings,DST23,97.9
244,Carolina Panthers,DST24,97.5
245,Jalen Guyton,WR81,97.2
246,Dallas Cowboys,DST25,97.1
247,A.J. Green,WR82,96.6
248,Dawson Knox,TE22,96.1
249,Marquez Valdes-Scantling,WR83,96
250,Adam Trautman,TE23,95.4
251,Los Angeles Chargers,DST26,94.6
252,Amon-Ra St. Brown,WR84,94.2
253,Van Jefferson,WR85,94
254,Giovani Bernard,RB55,93.5
254,Justin Jackson,RB55,93.5
256,Atlanta Falcons,DST27,93.2
257,Olamide Zaccheaus,WR86,92.7
258,D'Wayne Eskridge,WR87,92.3
259,Jimmy Garoppolo,QB34,91.9
260,Malcolm Brown,RB57,91.3
260,Blake Jarwin,TE24,91.3
262,Darius Slayton,WR88,91.1
263,Rashard Higgins,WR89,90.1
264,Jacksonville Jaguars,DST28,89
265,Ty'Son Williams,RB58,87.7
266,Quez Watkins,WR90,87.1
267,Rashod Bateman,WR91,87
268,Byron Pringle,WR92,86.7
269,Anthony Firkser,TE25,86.5
270,Anthony McFarland Jr.,RB59,85.7
271,Carlos Hyde,RB60,83.8
271,Cole Kmet,TE26,83.8
273,T.Y. Hilton,WR93,83.2
274,Chris Conley,WR94,83.1
275,Chris Herndon,TE27,81.9
275,Mo Alie-Cox,TE27,81.9
277,Darrynton Evans,RB61,81.8
278,Wayne Gallman,RB62,80.8
279,Jalen Reagor,WR95,80.4
280,KJ Hamler,WR96,79.1
281,Josh Reynolds,WR97,78.7
282,Drew Sample,TE29,78.5
283,Detroit Lions,DST29,78.3
284,Anthony Miller,WR98,78.2
285,Eric Ebron,TE30,77.3
286,Benny Snell Jr.,RB63,76.8
287,Tyler Conklin,TE31,76.7
288,Tyler Kroft,TE32,76.4
289,Dalton Schultz,TE33,75.9
290,Houston Texans,DST30,75
291,Zach Pascal,WR99,74.7
291,Tony Jones Jr.,RB64,74.7
293,Cordarrelle Patterson,RB65,74.6
294,Kenneth Gainwell,RB66,74.5
295,Jack Doyle,TE34,74.3
296,Mark Ingram II,RB67,73.9
297,Devontae Booker,RB68,73.6
298,Cincinnati Bengals,DST31,73
299,Latavius Murray,RB69,72.2
300,Hunter Renfrow,WR100,71.3
