Larry Rountree,RB,1.8
Kennedy Brooks,RB,1.7
Jason Huntley,RB,1.7
Austin Walter,RB,1.7
Jashaun Corbin,RB,1.7
Sandro Platzgummer,RB,1.7
Bryant Koback,RB,1.7
Dexter Williams,RB,1.7
Ty Chandler,RB,1.7
Tayon Fleet-Davis,RB,1.7
Antonio Williams,RB,1.7
Jonathan Ward,RB,1.7
Godwin Igwebuike,RB,1.7
Jerrion Ealy,RB,1.7
ZaQuandre White,RB,1.6
Gerrid Doaks,RB,1.6
John Kelly,RB,1.6
Johnny Stanton,RB,1.6
Julius Chestnut,RB,1.6
Jonathan Williams,RB,1.6
Salvon Ahmed,RB,1.6
Abram Smith,RB,1.5
Zonovan Knight,RB,1.5
Spencer Brown,RB,1.5
John Lovett,RB,1.5
Demetric Felton,RB,1.5
Trenton Cannon,RB,1.4
Jerome Ford,RB,1.3
Justin Jackson,RB,1.3
Reggie Bonnafon,RB,1.2
Zander Horvath,RB,1.1
Kevin Marks Jr.,RB,1.1
Raheem Blackshear,RB,1.1
Brittain Brown,RB,1.1
De'Montre Tuggle,RB,1.1
Leddie Brown,RB,1.1
Jeremy McNichols,RB,1
Patrick Laird,RB,0.9
Elijah Holyfield,RB,0.9
Jordan Mason,RB,0.8
Taiwan Jones,RB,0.7
Royce Freeman,RB,0.7
Darwin Thompson,RB,0.7
Ronnie Rivers,RB,0.7
Josh Johnson,RB,0.7
Cooper Kupp,WR,360.1
Justin Jefferson,WR,337
Ja'Marr Chase,WR,302.3
CeeDee Lamb,WR,296.7
Davante Adams,WR,294.7
Michael Pittman,WR,282.5
Deebo Samuel,WR,255.9
Tee Higgins,WR,276.2
Stefon Diggs,WR,276.7
D.J. Moore,WR,269.9
Mike Williams,WR,238.8
Mike Evans,WR,236.7
Keenan Allen,WR,260.7
Tyreek Hill,WR,247.5
Brandin Cooks,WR,243.1
Terry McLaurin,WR,239.9
Allen Robinson II,WR,226.6
A.J. Brown,WR,229.8
Gabriel Davis,WR,208.4
Darnell Mooney,WR,230.5
D.K. Metcalf,WR,225
Amon-Ra St. Brown,WR,227.5
Diontae Johnson,WR,230.9
Courtland Sutton,WR,214.3
Chris Godwin,WR,212.2
Marquise Brown,WR,214.8
DeVonta Smith,WR,204.8
Jaylen Waddle,WR,222.8
Michael Thomas,WR,204.5
Elijah Moore,WR,202
Jerry Jeudy,WR,197.1
Tyler Lockett,WR,194.4
Brandon Aiyuk,WR,193
Chris Olave,WR,190.3
Allen Lazard,WR,186.3
Adam Thielen,WR,192.1
Robert Woods,WR,192.4
Juju Smith-Schuster,WR,201.3
Christian Kirk,WR,192.3
Hunter Renfrow,WR,189.7
Rashod Bateman,WR,190.5
Tyler Boyd,WR,181.3
Amari Cooper,WR,181.2
Jakobi Meyers,WR,189
Drake London,WR,174.9
Rondale Moore,WR,165.6
DeAndre Hopkins,WR,160.7
Julio Jones,WR,154.7
Marvin Jones,WR,162.3
Treylon Burks,WR,153.3
Jalen Tolbert,WR,151.5
Kadarius Toney,WR,159.3
Russell Gage,WR,159.9
Isaiah McKenzie,WR,154.2
Donovan Peoples-Jones,WR,148.8
Garrett Wilson,WR,159.4
Nico Collins,WR,157.1
Chase Claypool,WR,153.7
Jahan Dotson,WR,150.4
DeVante Parker,WR,157.6
K.J. Osborn,WR,146.7
K.J. Hamler,WR,149.2
Skyy Moore,WR,144.1
Marquez Valdes-Scantling,WR,142.7
Parris Campbell,WR,142.3
D.J. Chark,WR,143.1
Alec Pierce,WR,137.7
Kenny Golladay,WR,139.8
Robby Anderson,WR,145.3
Mecole Hardman,WR,133.4
George Pickens,WR,140
Corey Davis,WR,137.6
Randall Cobb,WR,130.3
Michael Gallup,WR,133.1
Van Jefferson,WR,125
Romeo Doubs,WR,128.3
Wan'Dale Robinson,WR,129.6
Byron Pringle,WR,128.9
Sterling Shepard,WR,131.5
Jarvis Landry,WR,128.1
Nick Westbrook,WR,113.6
Braxton Berrios,WR,116.7
David Bell,WR,107.7
Curtis Samuel,WR,106.4
Olamide Zaccheaus,WR,112.6
Jameson Williams,WR,107.3
Josh Palmer,WR,102
Nelson Agholor,WR,99.9
Kyle Philips,WR,93.7
Zay Jones,WR,95
Keelan Cole,WR,86.8
Rashard Higgins,WR,90
Laviska Shenault Jr.,WR,88.7
A.J. Green,WR,79.9
Devin Duvernay,WR,81.4
Sammy Watkins,WR,78.2
Anthony Schwartz,WR,71.7
Velus Jones Jr.,WR,72.7
Freddie Swain,WR,70.7
James Proche,WR,71.5
Mack Hollins,WR,64.8
Christian Watson,WR,66.4
Jamison Crowder,WR,67.5
Phillip Dorsett,WR,66.4
D’Wayne Eskridge,WR,63.7
Tyquan Thornton,WR,61.3
Noah Brown,WR,64.1
Terrace Marshall Jr.,WR,63.2
Equanimeous St. Brown,WR,58.8
Chris Moore,WR,55.4
Tylan Wallace,WR,55.1
David Sills V,WR,53.7
Kendrick Bourne,WR,48.4
Chris Conley,WR,49.8
Jalen Guyton,WR,44.1
Ben Skowronek,WR,46.7
Quez Watkins,WR,43.8
Kalif Raymond,WR,44.2
Marquez Callaway,WR,44.4
Jauan Jennings,WR,45.2
Ray-Ray McCloud,WR,44
Jalen Reagor,WR,40.6
Zach Pascal,WR,38.6
James Washington,WR,36.7
Bryan Edwards,WR,36.5
Cam Sims,WR,34.3
Damiere Byrd,WR,35.9
Preston Williams,WR,34
Tre'Quan Smith,WR,34.2
Mohamed Sanu,WR,33.9
Ashton Dulin,WR,29.6
Trent Sherfield,WR,32
Antoine Wesley,WR,29.7
Tutu Atwell,WR,27.2
Malik Turner,WR,27.1
Dezmon Patmon,WR,26.9
Miles Boykin,WR,26.7
Khadarel Hodge,WR,25.7
Dyami Brown,WR,24.5
Marcus Johnson,WR,24.1
Josh Reynolds,WR,21.2
Dax Milne,WR,22.1
Laquon Treadwell,WR,20.9
Darius Slayton,WR,21
Demarcus Robinson,WR,20.8
Khalil Shakir,WR,19.1
Calvin Austin III,WR,19.6
Erik Ezukanma,WR,17.8
Quintez Cephus,WR,17.7
Greg Ward Jr.,WR,17.7
C.J. Board,WR,16.8
Justin Watson,WR,16
Danny Gray,WR,16
Mike Thomas,WR,16
Jamal Agnew,WR,16.1
Mike Strachan,WR,14.5
Josh Gordon,WR,14.1
Amari Rodgers,WR,11.1
Stanley Morgan Jr.,WR,10.4
Jake Kumerow,WR,9.4
Kendall Hinton,WR,9.1
Dontario Drummond,WR,8.5
Dennis Houston,WR,8.5
Brandon Smith,WR,8.4
T.J. Vasher,WR,8.4
Seth Williams,WR,8.6
Landen Akers,WR,8.1
Lance McCutcheon,WR,8.1
Austin Trammell,WR,8
Drew Estrada,WR,8.2
Johnny Johnson III,WR,8.2
Connor Wedington,WR,8
Andy Isabella,WR,8
Ihmir Smith-Marsette,WR,7.3
Marquise Goodwin,WR,6.2
Cameron Batson,WR,6.5
Brandon Zylstra,WR,7.2
Lil'Jordan Humphrey,WR,6.7
Ben Victor,WR,6.6
Raleigh Webb,WR,6.7
Makai Polk,WR,6.7
Frank Darby,WR,6.9
Kirk Merritt,WR,6.7
Jalen Camp,WR,6.6
Richie James,WR,6.3
Simi Fehoko,WR,6.3
Jalen Nailor,WR,6.1
Tanner Gentry,WR,6.1
Neil Pau’u,WR,6.1
Trinity Benson,WR,6.9
Olabisi Johnson,WR,6
Andre Roberts,WR,4.8
Tom Kennedy,WR,6.3
Keelan Doss,WR,5.9
Lynn Bowden,WR,5.9
Braylon Sanders,WR,5.8
Gunner Olszewski,WR,5.5
Corey Coleman,WR,5.5
Samori Toure,WR,5.7
Kabion Ento,WR,5.6
Ishmael Hyman,WR,5.6
Alex Erickson,WR,5.8
River Cracraft,WR,5.8
Cornell Powell,WR,5.3
Isaiah Hodgins,WR,5.3
Alex Bachman,WR,5.6
Jaylon Moore,WR,5.6
Rico Gafford,WR,5.4
Juwann Winfree,WR,5.8
Aaron Parker,WR,5.3
Victor Bolden,WR,5.2
Tajae Sharpe,WR,6
Andre Baccellia,WR,5.1
Dez Fitzpatrick,WR,5.4
JaVonta Payton,WR,5.2
Ethan Fernea,WR,5.3
Samson Nacua,WR,5.3
Jontre Kirklin,WR,5.2
DeMichael Harris,WR,5.3
Marken Michel,WR,5.1
Cyril Grayson,WR,4.3
Kendric Pryor,WR,5.1
Matt Cole,WR,5.1
Tay Martin,WR,5.2
Easop Winston Jr.,WR,5.3
Kwamie Lassiter II,WR,5.1
Kyric McGowan,WR,5.2
Dante Pettis,WR,5.3
Deon Cain,WR,4.8
Denzel Mims,WR,5
Britain Covey,WR,4.8
Devon Allen,WR,4.8
Breshad Perriman,WR,4.3
Jeff Smith,WR,4.7
Brandon Powell,WR,4.5
N'Keal Harry,WR,4.8
Stanley Berryhill III,WR,4.4
Jared Bernhardt,WR,4.4
Kevin White,WR,4.3
KeeSean Johnson,WR,4.3
Cody Hollister,WR,4.2
Keke Coutee,WR,4.3
Travis Fulgham,WR,4.2
Steven Sims,WR,4.2
Tyler Snead,WR,4.2
Dai'Jean Dixon,WR,4.1
Tyler Vaughns,WR,4.2
Rashid Shaheed,WR,4.1
Shi Smith,WR,3.5
Trenton Irwin,WR,3.9
Cody White,WR,4.1
Greg Dortch,WR,3.8
Javon Wims,WR,3.6
Mike Harley Jr.,WR,3.7
Tyron Johnson,WR,3.5
Marquez Stevenson,WR,3.5
Isaiah Zuber,WR,3.6
Mike Woods,WR,3.7
Justin Hall,WR,3.3
Marcus Kemp,WR,3.6
D.J. Turner,WR,3.3
Ja'Marcus Bradley,WR,3.2
Kevin Shaa,WR,3
Tyler Johnson,WR,3.2
Chris Finke,WR,3
John Hightower,WR,2.8
DeAndre Carter,WR,2.6
Willie Johnson,WR,2.9
Dillon Stoner,WR,2.7
Kevin Austin Jr.,WR,2.9
Kalil Pimpleton,WR,2.8
Scott Miller,WR,2.8
Tim Jones,WR,2.8
Daurice Fountain,WR,2.5
Kawaan Baker,WR,2.5
Bo Melton,WR,2.5
Isaiah Coulter,WR,2.6
Josh Hammond,WR,2.2
J.J. Arcega-Whiteside,WR,2.3
Penny Hart,WR,2.4
Trent Taylor,WR,2.3
Charleston Rambo,WR,2
Ra’Shaun Henry,WR,2
Trevon Bradford,WR,2
C.J. Saunders,WR,2
Derek Wright,WR,2
Tre Nixon,WR,2
Joe Reed,WR,2
Trishton Jackson,WR,1.9
Michael Bandy,WR,2
Jaelon Darden,WR,1.6
Jalen Virgil,WR,1.8
Darrius Shepherd,WR,1.6
Brandon Johnson,WR,1.8
Montrell Washington,WR,1.8
Kristian Wilkerson,WR,1.6
Reggie Roberson Jr.,WR,1.5
Jason Moore Jr.,WR,1.6
Irvin Charles,WR,1.4
Tyrie Cleveland,WR,1.5
Tarik Black,WR,1.4
Calvin Jackson,WR,1.4
Racey McMath,WR,1.3
Blake Proehl,WR,1.3
Jeff Cotton,WR,1.1
Matthew Slater,WR,1.1
Nsimba Webster,WR,1.1
Mason Kinsey,WR,1.1
Kaylon Geiger,WR,0.9
Deven Thompkins,WR,0.9
Dan Chisena,WR,0.8
Jerreth Sterns,WR,0.9
Kevin Kassis,WR,0.7
Cade Johnson,WR,0.7
Dareke Young,WR,0.7
Aaron Fuller,WR,0.7
Cody Thompson,WR,0.5
Travis Kelce,TE,254.9
Mark Andrews,TE,239.9
Kyle Pitts,TE,225.8
George Kittle,TE,220.8
Dallas Goedert,TE,203.7
Darren Waller,TE,200.2
Dalton Schultz,TE,193.3
Zach Ertz,TE,183.3
T.J. Hockenson,TE,191.6
Dawson Knox,TE,159.1
Hunter Henry,TE,159.4
Cole Kmet,TE,157.8
David Njoku,TE,145.1
Gerald Everett,TE,148
Mike Gesicki,TE,144.7
Irv Smith Jr.,TE,145.5
Pat Freiermuth,TE,147
Tyler Higbee,TE,139.2
Robert Tonyan Jr.,TE,135.4
Logan Thomas,TE,132.3
Brevin Jordan,TE,140.1
Austin Hooper,TE,130
Taysom Hill,TE,106.8
Noah Fant,TE,126.1
Albert Okwuegbunam,TE,114
